Offence,A,CB,C,E,FH,NE,NW,PI,SC,SE,S,SW,W,Total,Source_File,Year
Manslaughter,0,1,0,0,0,0,0,0,0,1,0,1,0,3,RBPF 2023 Annual Crime Report.pdf,2023
Rape,0,7,4,1,1,3,2,0,5,7,2,17,0,49,RBPF 2023 Annual Crime Report.pdf,2023
Attempted Rape,0,0,0,1,0,0,1,1,2,1,1,2,0,9,RBPF 2023 Annual Crime Report.pdf,2023
Unlawful Sex,0,2,3,11,1,7,3,0,14,19,9,17,5,91,RBPF 2023 Annual Crime Report.pdf,2023
Armed Robbery,1,22,14,28,15,42,10,0,39,70,36,66,8,351,RBPF 2023 Annual Crime Report.pdf,2023
Robbery,1,5,10,0,1,3,5,2,14,10,7,9,1,68,RBPF 2023 Annual Crime Report.pdf,2023
Attempted Robbery,0,1,1,0,0,1,1,1,0,0,0,1,0,6,RBPF 2023 Annual Crime Report.pdf,2023
Sub Total,2,39,37,45,25,71,27,4,93,140,80,129,17,709,RBPF 2023 Annual Crime Report.pdf,2023
Burglary,0,2,1,1,0,5,5,0,4,7,4,4,11,44,RBPF 2023 Annual Crime Report.pdf,2023
Housebreaking,0,8,7,26,14,15,11,1,20,31,11,71,39,254,RBPF 2023 Annual Crime Report.pdf,2023
Shopbreaking,0,10,25,5,4,56,20,0,18,21,17,36,27,239,RBPF 2023 Annual Crime Report.pdf,2023
Stealing,8,51,74,81,21,55,39,25,53,114,45,169,61,796,RBPF 2023 Annual Crime Report.pdf,2023
,1,9,22,22,5,30,12,3,45,27,12,31,9,228,RBPF 2023 Annual Crime Report.pdf,2023
Stolen Vehicle,5,20,29,12,6,22,14,11,24,32,14,38,11,238,RBPF 2023 Annual Crime Report.pdf,2023
Sub Total,14,100,158,147,50,183,101,40,164,232,103,349,158,1799,RBPF 2023 Annual Crime Report.pdf,2023
TOTAL,16,139,195,192,75,254,128,44,257,372,183,478,175,2508,RBPF 2023 Annual Crime Report.pdf,2023
Murder,0,0,4,9,9,4,3,0,24,20,9,18,5,105,RBPF 2024 Annual Crime Report.pdf,2024
Attempted Murder,0,1,1,0,0,7,1,0,3,5,3,4,1,26,RBPF 2024 Annual Crime Report.pdf,2024
